"","time","Cori.mean","Cori.025","Cori.975"
"1",2,NA,NA,NA
"2",3,NA,NA,NA
"3",4,NA,NA,NA
"4",5,NA,NA,NA
"5",6,NA,NA,NA
"6",7,NA,NA,NA
"7",8,3.997208195449,3.08289368205705,4.96263477741963
"8",9,4.35938384602089,3.20099191690108,6.04131452369938
"9",10,4.27817054150147,3.18565881939361,5.82073552499806
"10",11,4.22952033587445,3.19990549364631,5.65992358085458
"11",12,4.19897867513235,3.19219997265001,5.52047488548376
"12",13,4.17793304423774,3.18725959375358,5.533372729975
"13",14,4.16893275371118,3.2073203794241,5.49553326489971
"14",15,4.16150256402296,3.197584198943,5.4942737166658
"15",16,4.15477805738627,3.19708267734193,5.43119715689244
"16",17,4.14991990642802,3.20133838801389,5.46033197326731
"17",18,4.14564990912349,3.20147127211877,5.43200691131549
"18",19,4.1376222107672,3.19598747468679,5.45131721828539
"19",20,4.13420407738827,3.20022478856026,5.41582474078037
"20",21,4.12371733662368,3.20031019805657,5.40904202905602
"21",22,3.9280714686269,3.04215366326596,5.13967435874795
"22",23,3.54747082453903,2.76465656463225,4.6205613369564
"23",24,3.16369758588624,2.51499346561262,4.07549888377371
"24",25,2.78819420311693,2.25836486587181,3.52543465028811
"25",26,2.42125031072159,2.01793457751594,2.98708646307574
"26",27,2.06215241370959,1.76033162827839,2.47721522079713
"27",28,1.71149951161868,1.5006518294767,1.99904679746101
"28",29,1.53715541418105,1.38203178301767,1.74030989376797
"29",30,1.53194520578574,1.40169504689961,1.68582429492056
"30",31,1.53267427925816,1.41558918873581,1.65753834986144
"31",32,1.57920152926767,1.46952701361652,1.69193071647447
"32",33,1.67262781513244,1.56351415227908,1.78613999647205
"33",34,1.76394279222951,1.65150685108206,1.88006871552608
"34",35,1.85206851295931,1.72554528075395,1.98110313313071
"35",36,1.93523919645264,1.78809851096556,2.08457650675609
"36",37,2.01556048283465,1.84595950371811,2.19429742243547
"37",38,2.09113320605165,1.90004743676837,2.29522886263068
"38",39,2.11513537440439,1.90486267131744,2.34795913663366
"39",40,2.08846794005389,1.87367164926378,2.33434428563473
"40",41,2.05798836958712,1.84197567269014,2.31514167400253
"41",42,2.02585151861376,1.81904697046439,2.27893841719467
"42",43,1.99183397569471,1.79271695070127,2.23817963615818
"43",44,1.95507356931423,1.7648359430593,2.18991862837606
"44",45,1.91550744721971,1.7353480497228,2.13828036901144
"45",46,1.87351930171445,1.7034245373925,2.08021619600626
"46",47,1.827886904751,1.66805368593602,2.02187547539311
"47",48,1.77915006902438,1.63043248326302,1.95748787513384
"48",49,1.72773135091564,1.58871014645829,1.89296408304967
"49",50,1.6735528555183,1.54707213067838,1.8245969210666
"50",51,1.61685918656223,1.50025943826027,1.75134159490712
"51",52,1.55782802800343,1.45215109433808,1.67907029604317
"52",53,1.49717067606518,1.40279013361852,1.60395433214632
"53",54,1.43478173965979,1.3510625188163,1.52719169894971
"54",55,1.3719108863384,1.29784283864689,1.45195799500492
"55",56,1.30867108533527,1.24349868006197,1.37628739175129
"56",57,1.24540173663485,1.1884420911203,1.30253683528233
"57",58,1.18327227580122,1.13319540009564,1.23165460239872
"58",59,1.12205330822613,1.07793075307698,1.16389035137547
"59",60,1.06267954580681,1.0238764636787,1.09961619766376
"60",61,1.00540292186849,0.970153968455659,1.03742053753482
"61",62,0.950555977715256,0.919461578522623,0.979272970958919
"62",63,0.898625776585283,0.871286633916919,0.924441314136659
"63",64,0.849395900071883,0.825045514849524,0.874626824826904
"64",65,0.803181553485974,0.779028086529097,0.830563643904477
"65",66,0.760017390629434,0.734180632545704,0.790320261477303
"66",67,0.72010398200617,0.69147042800175,0.754008492548501
"67",68,0.68316844931136,0.651398458780846,0.718090496427281
"68",69,0.649135757129361,0.61593792241768,0.686233492405736
"69",70,0.617951810382362,0.582380583024721,0.656476247919786
"70",71,0.589422552485671,0.553054827700336,0.627678810237968
"71",72,0.563339267567523,0.52651441016364,0.60208544128488
"72",73,0.539676095543687,0.502430565713659,0.578541351878548
"73",74,0.518154099599907,0.481012308438241,0.556256922513244
"74",75,0.498643349691379,0.461739283838406,0.536647582370617
"75",76,0.481002932331107,0.444118951928625,0.518349905315312
"76",77,0.464971932130241,0.428520351129891,0.502898695619991
"77",78,0.450594654198263,0.41415539598468,0.487925299313287
"78",79,0.437396670162542,0.401076790026864,0.475031923137004
"79",80,0.425683087782589,0.390311296681879,0.463810838960768
"80",81,0.414932264177575,0.379608147379606,0.454326594565902
"81",82,0.405224868423599,0.369546280963643,0.44599776430608
"82",83,0.396693893443162,0.360539808949147,0.438451144271369
"83",84,0.388592950466341,0.351898817857916,0.431803370773225
"84",85,0.381557783196584,0.343909314322038,0.426063865064158
"85",86,0.375163634926244,0.336254285341913,0.422294261954421
"86",87,0.369350807301511,0.329908985027084,0.416681524313837
"87",88,0.36428224344989,0.323848548340345,0.414152401158479
"88",89,0.359247311758149,0.317543664843413,0.410082208618389
"89",90,0.355056463061672,0.312608249889133,0.407526794090041
"90",91,0.350830810848448,0.307117843340585,0.405143857425651
"91",92,0.347218412341026,0.302148706189848,0.402775609653013
"92",93,0.344283645137092,0.297663789262259,0.401515880820374
"93",94,0.341233560612169,0.293481028475492,0.400291247220502
"94",95,0.33854844132888,0.290503695067625,0.398950419952366
"95",96,0.336080213572175,0.285619748297718,0.398271366594127
"96",97,0.333898265726577,0.282164854472622,0.397962402812552
"97",98,0.331730926245918,0.279205686136295,0.396927206827827
"98",99,0.330228589923987,0.276786236676874,0.397866657030309
