"","time","estimate","upperRt","lowerRt","beta","delta","gamma","est_S","true_S","true_rt"
"1",NA,3.81924585869774,NA,NA,0.48700885983912,0.917905485916714,0.12750254645843,0.999907009280369,0.99987785173563,1.99978839742817
"2",NA,3.34250903072575,NA,NA,0.414533487767125,0.916677742981205,0.124004827395354,0.999888471387887,0.999859535393648,1.99975569899656
"3",10,2.87307513791387,3.55670067761531,2.32886225562941,0.378290900284598,0.881466116980637,0.131650216133134,0.999867992036117,0.999839014617622,1.99971906502229
"4",11,2.57055429793282,3.07504479910866,2.15715764762431,0.362302029036469,0.978518286409068,0.140921308753313,0.999845010113599,0.999816024315109,1.99967802183287
"5",12,2.38369778732253,2.82934008676324,2.02458769662999,0.339424362835151,0.946497231798381,0.142368268964917,0.999819002036195,0.999790267391196,1.99963203915268
"6",13,2.1717742740857,2.52487094123764,1.87240011897448,0.325996288191167,0.971231227834027,0.150074444774626,0.999789967449265,0.999761411119914,1.99958052267784
"7",14,2.00440578228359,2.28876960640916,1.76780605117479,0.320907263425555,0.98060404383038,0.16006211931351,0.999757481497433,0.999729082851799,1.999522806813
"8",15,1.88936564682828,2.12468485494073,1.67307628819638,0.318062822384489,0.991109976985022,0.16829682905209,0.999721516954814,0.999692865201061,1.99945814607892
"9",16,1.84252778410902,2.05732581500936,1.64509746016511,0.311945428578714,0.976235012846359,0.169248963711703,0.999681000267597,0.999652290714551,1.99938570547744
"10",17,1.79696660883969,1.99472832718236,1.61105460172616,0.306897648603543,1.02128521945707,0.170724261588375,0.999635542302366,0.999606835832494,1.9993045498175
"11",18,1.82768053194521,2.02284287132137,1.64115677898773,0.302493663444923,1.04562215290359,0.165438091705267,0.99958450702204,0.999555914243534,1.99921363162186
"12",19,1.86344862111013,2.06025714356394,1.68634055243604,0.309200023065982,1.01633896881039,0.165850523041377,0.999527507816186,0.999498869462724,1.99911177781863
"13",20,1.87553064475137,2.05623542764306,1.70942578458275,0.302501591192757,1.03942638434395,0.16120200292121,0.999463491355243,0.999434966402927,1.99899767487381
"14",21,1.86574593134521,2.03214307248401,1.71310952098468,0.306081508518716,1.04580714721193,0.163953410286624,0.999391990887737,0.999363381709816,1.99886985190455
