"","time","Cori.mean","Cori.025","Cori.975"
"1",2,NA,NA,NA
"2",3,NA,NA,NA
"3",4,NA,NA,NA
"4",5,NA,NA,NA
"5",6,NA,NA,NA
"6",7,NA,NA,NA
"7",8,2.34471125425569,1.55581403405433,3.30402904771939
"8",9,2.3785951050301,1.60673250864388,3.34777020942226
"9",10,2.23334125707902,1.50949571398866,3.10481915225795
"10",11,2.17623288873935,1.49824692824195,2.98372658156311
"11",12,2.16194338569393,1.55127358898471,2.88442765304159
"12",13,2.08428818365922,1.51882702741364,2.75356061567005
"13",14,2.09047567267129,1.54627606504553,2.71379502860291
"14",15,2.08108965874162,1.54952583795055,2.69179791775496
"15",16,2.05097090572153,1.55623887533164,2.6122607858977
"16",17,2.0577728316598,1.59433113102201,2.59972151438766
"17",18,2.04131323292592,1.59880684950625,2.56727154740797
"18",19,2.0333922252081,1.60746565822558,2.51468992228078
"19",20,2.02485380525235,1.59508206136925,2.50798427620353
"20",21,2.03143853073942,1.63306385718117,2.48220976832364
"21",22,2.01697741183298,1.63716203064391,2.43455944950565
"22",23,2.02405023833758,1.66008193031274,2.45007585067205
"23",24,2.02331752719585,1.65955458202291,2.42331241424007
"24",25,2.0225238763235,1.67143292784198,2.40501366342178
"25",26,2.01734098088759,1.68585805934259,2.39229919263153
"26",27,2.01891818810164,1.69424059467269,2.38656649582343
"27",28,2.02342872448114,1.70754458759445,2.37886683989945
"28",29,2.01485084574081,1.71081853486607,2.34505703587888
"29",30,2.01819178708354,1.71782389778171,2.3503856010753
"30",31,2.01107695393709,1.71675035725049,2.33455382071415
"31",32,2.01610777623066,1.73984392411323,2.32797730207606
"32",33,2.01567066923905,1.74384742430306,2.32801635436399
"33",34,2.01379079474167,1.75116375746008,2.31123645897056
"34",35,2.01196149217127,1.75624444899912,2.28892333486296
"35",36,2.01310783673909,1.76626998188904,2.29021964038628
"36",37,2.01219743065776,1.76830384389612,2.28396569856443
"37",38,2.00760311515529,1.77167648651553,2.27452925654066
"38",39,2.01057053459641,1.77075928291494,2.2840476783883
"39",40,2.008328472818,1.77583448664272,2.26706699533631
"40",41,2.00950689643046,1.77901803388351,2.26286741441675
"41",42,2.00621277157968,1.78421008482201,2.25711326842892
"42",43,2.00501090614154,1.79428177275235,2.24534540905549
"43",44,2.00270111719575,1.78664535502421,2.23653447671119
"44",45,2.00384773065471,1.79532574856489,2.23548265565182
"45",46,2.00190427674341,1.78957933107814,2.23599775286488
"46",47,1.99958081660408,1.79503972625367,2.22731607894735
"47",48,1.9982879607065,1.7950676132762,2.22546967525277
"48",49,1.99463380456696,1.7969287420457,2.21802358734744
"49",50,1.99328939459164,1.79607327279012,2.21632622419661
"50",51,1.99204850244263,1.79677217181078,2.20588440938837
"51",52,1.98859549817287,1.79541170828168,2.20322348174106
"52",53,1.98463930383606,1.79312916927241,2.19625960728242
"53",54,1.98203157767063,1.79462487892658,2.19166808037465
"54",55,1.97876624725819,1.78982401292648,2.18431528193251
"55",56,1.97447915688128,1.78728035846717,2.1746554343015
"56",57,1.96986005896244,1.7837691111963,2.17041059246783
"57",58,1.9647495441138,1.78252402874095,2.16517055057377
"58",59,1.95984280522422,1.77849074304504,2.15587017172665
"59",60,1.95359346662052,1.77197171583703,2.14638065708766
"60",61,1.94754137144376,1.77163486836855,2.14032070039612
"61",62,1.93986873478392,1.76401127319807,2.12682054716849
"62",63,1.93220220840552,1.76122004028102,2.11882553581663
"63",64,1.92321374064527,1.75261446104353,2.10308368407065
"64",65,1.91377827654077,1.74491684200774,2.09466585396049
"65",66,1.90396939066943,1.7382136838077,2.08115836893386
"66",67,1.89216832172345,1.73043509403851,2.06700575930515
"67",68,1.88024849847309,1.71767690326886,2.0498395423541
"68",69,1.86666822345987,1.70927273471042,2.0339715999725
"69",70,1.85195571886198,1.69590696306229,2.01420741031702
"70",71,1.83615383748897,1.68121402371869,1.99232374074149
"71",72,1.81932271784804,1.67287979093649,1.97302658994926
"72",73,1.800571043662,1.65678065682411,1.94992466744202
"73",74,1.78047318404974,1.64301986320595,1.92612602402838
"74",75,1.75886057510239,1.62539459596389,1.89841594243903
"75",76,1.73580539085692,1.60513390086134,1.86996949378639
