"","time","estimate","upperRt","lowerRt","beta","delta","gamma","est_S","true_S","true_rt"
"1",NA,5.03890790863914,NA,NA,1.24307249650487,0.257892290523382,0.246595293352909,0.999596545980126,0.999566852321886,3.99865952074
"2",9,4.47590969942514,5.0233176602183,4.01275338046953,1.14997141077186,0.260659577139213,0.256788573699824,0.999470471142528,0.999441009828769,3.99826719122657
"3",10,4.2856891530882,4.74444274415196,3.86133798486073,1.06198027076105,0.259725927375982,0.247625629257572,0.999309029136006,0.999279487467264,3.99776367809908
"4",11,4.01046673213076,4.37327229882422,3.67016451005329,1.03993538861703,0.257141861230899,0.259072322752762,0.99910142782767,0.999072167023187,3.99711735223724
"5",12,3.90519513595417,4.18819441947638,3.60181567161316,1.02604567190545,0.259513815565239,0.262432698442104,0.998835554335708,0.998806079699454,3.99628768029153
"6",13,3.87232381925315,4.13927311063533,3.62629422603928,1.01570132106236,0.254496411465276,0.261902579231734,0.998493922231118,0.998464604918488,3.99522268746607
"7",14,3.89174592516296,4.13251036046197,3.65637975792346,1.01732229230756,0.250340251770135,0.260896995747614,0.998056198871804,0.99802645044454,3.99385572753348
"8",15,3.86079134820095,4.07184375120441,3.65978595200452,0.99475639160749,0.255499396384749,0.257010403002094,0.997494008261323,0.997464355339575,3.9921013619924
"9",16,3.81034069923347,3.97883761433203,3.63642711994661,1.00036963811212,0.257214241540778,0.261693509658079,0.996772985290933,0.996743444342055,3.98985010418679
"10",17,3.82251688745754,3.98164133836321,3.6800003977227,0.998467029340942,0.258935818537462,0.260122306231542,0.995848514928724,0.99581915030891,3.98696172616951
"11",18,3.83982823605335,3.98401205883027,3.70210037032136,0.9853372531187,0.259186677246958,0.255240403824192,0.994663813312381,0.994634590961142,3.98325676788352
"12",19,3.89141784913107,4.01145485130076,3.76526572455173,0.996326418828468,0.254839624623611,0.254276852646454,0.993145885033122,0.993117298406294,3.97850575078026
"13",20,3.9042027996058,4.01843790647941,3.79814658501075,0.993990782592902,0.254343073435617,0.252355546275224,0.991203588119485,0.99117515462993,3.97241562079478
"14",21,3.87335141163198,3.96724669342594,3.7791826997434,0.995652508594908,0.255147664947614,0.254152473226185,0.98872029392026,0.98869139835354,3.96461272515372
"15",22,3.87998557982359,3.96311211114527,3.79861776693033,0.995402642781188,0.253666732096302,0.252840278979409,0.985547550584845,0.985518585016075,3.95462161627304
"16",23,3.89668514958904,3.97152285131125,3.81410087136965,0.989452829044614,0.251978890448583,0.249224512319031,0.981501520395724,0.981471419671589,3.94183895268922
"17",24,3.898595588871,3.96771712066808,3.83395826186364,0.988646799337516,0.252028246134411,0.247592272702536,0.976346803371505,0.976318492729279,3.92550179487803
"18",25,3.87015807146284,3.93142613724538,3.81101003887075,0.995753558599141,0.250011092427675,0.249520134409113,0.969800563439086,0.9697731472882,3.9046498713875
"19",26,3.82105149562609,3.87386036352728,3.76878183521588,0.99516971547179,0.250209553454496,0.250419494920556,0.961510153216918,0.961484046008514,3.87808199849047
"20",27,3.78523222535879,3.82961575943954,3.73995557105363,0.995710149995728,0.250273623197291,0.250175233241406,0.951051221940525,0.95102655738358,3.84430803710307
"21",28,3.72725489722397,3.76820370658172,3.68916569589936,0.996408661417041,0.250082331364998,0.250734950166401,0.937921464456012,0.937896921538397,3.80149999677673
"22",29,3.67420693068042,3.70984539416236,3.64136718672114,0.995761668071636,0.249848877952283,0.249747646996651,0.921530286753524,0.921512213660324,3.74744972365109
"23",30,3.59259690711537,3.62316444131148,3.56466557175429,0.995602581281325,0.249903744229672,0.249756863769435,0.901238860946028,0.901220723817645,3.67954637312654
"24",31,3.48377738544254,3.5103330344247,3.45841497922252,0.995968801943495,0.249748770341002,0.250532148818848,0.876330897793468,0.876328448909057,3.59479645729155
"25",32,3.36152304130018,3.38376153624353,3.3402853081337,0.997944734815874,0.249254506688936,0.251201729569565,0.846159484090419,0.846148768306694,3.48991973619296
"26",33,3.22544229371193,3.24476929333149,3.20686733205266,0.99921328987887,0.249251362294556,0.250955290686624,0.810079105842892,0.810080779955668,3.36156811960164
"27",34,3.0613056038095,3.07751221551583,3.04521098449815,0.99732735380509,0.249599976450897,0.250109827230478,0.767714444758048,0.767718762859455,3.20671809834254
"28",35,2.86685223210423,2.87941714387362,2.85397781174809,0.997886755960866,0.24957725688823,0.250255735546448,0.718965563740138,0.718985346385808,3.02327595160769
"29",36,2.65064883692428,2.66130638318886,2.63930219291977,0.999054230727296,0.249393014307012,0.250351795032037,0.664222895928771,0.664266996405311,2.81087439449018
"30",37,2.41443846927963,2.42358177883855,2.40542644691225,0.999215414428781,0.249249961342677,0.250167151503956,0.604487466485444,0.604515992917791,2.57172725590787
"31",38,2.16336423338507,2.17087118515105,2.15580182084876,0.999471816526164,0.249227023661322,0.250068448012336,0.541275028853042,0.541271938112309,2.31126128801846
"32",39,1.90598082546327,1.91184434029783,1.90019888965918,0.99983188969555,0.249372206357858,0.249983424036672,0.476543724808213,0.47656370329476,2.03813920333959
"33",40,1.65156019120778,1.65625738802391,1.64651162925642,1.00005898924473,0.249549218244981,0.249900657167377,0.412701632176721,0.412684513085403,1.76338143012843
"34",41,1.40752296485638,1.41123674336044,1.40356687847663,0.999969507192382,0.249853258386403,0.250045998383982,0.351956217129114,0.351880364606071,1.49864531039542
"35",42,1.18491380022148,1.18801916301651,1.18183505871221,1.00018167509056,0.249422370701095,0.250025409546666,0.296204745153972,0.296034590416759,1.25417895646264
"36",43,0.986978270050582,0.989449083776912,0.984453159837984,1.00051241719014,0.249425540239815,0.250065063949319,0.246682379924808,0.246438667690305,1.03719533021058
"37",44,0.816478191945308,0.818629301517365,0.814476882736163,1.0004161335876,0.249611147768293,0.249880143398067,0.203936822723004,0.203706644662629,0.851200080073372
"38",45,0.672863974088139,0.674560282428329,0.671076671860848,0.999543998296775,0.249711662556522,0.249710962043058,0.168098163342458,0.167833384073865,0.696312537400866
"39",46,0.554903803258775,0.556350932973756,0.553436421304738,0.999167282363231,0.249659730296766,0.249650350302639,0.138647382988927,0.13834880936187,0.57020756499904
"40",47,0.459510840663817,0.46072559378394,0.458227061986038,0.999023616130799,0.249607897707189,0.249586890864722,0.114799970879668,0.114504761193528,0.4692068351524
"41",48,0.383117977261194,0.384213269406923,0.382027644641431,0.9987712574975,0.249616004676158,0.249546804589224,0.0957234865225957,0.0954418596039497,0.389186461633922
"42",49,0.322674440756611,0.323713862216094,0.32176421776227,0.998743376789656,0.249289853137084,0.249432972958137,0.0805869124401479,0.080310666599459,0.326178130646492
"43",50,0.274465833165804,0.275393257370287,0.273604262948702,0.998539793686651,0.249682421100682,0.249463284612756,0.0685692735416455,0.0683431172310424,0.276683694699927
"44",51,0.236494681846647,0.237351759990291,0.235654985870954,0.997845028792815,0.249691041210085,0.249356308304344,0.0590987970048149,0.0588840459489364,0.237785412966844
"45",52,0.206235484061841,0.207022253721743,0.205487624253494,0.997396673296804,0.249574749743785,0.249547695640167,0.051599921259765,0.0513960720806154,0.207135312126874
"46",53,0.182150095854887,0.182919785299191,0.181466842818407,0.996843447036108,0.24954207612783,0.249778813378047,0.0456413039927254,0.0454499498318753,0.182887269389026
"47",54,0.162968197288069,0.163685137544718,0.1622708191617,0.997117759953759,0.249607453166859,0.250051548094919,0.0408682421061376,0.0407086110171882,0.163610175343587
"48",55,0.147669344059675,0.148349205322379,0.146982299765119,0.997198716488642,0.249597368187991,0.250126339262967,0.037039751295579,0.0369100848334733,0.148203293424479
"49",56,0.135340657578363,0.135970244195983,0.134716635657308,0.996950200718991,0.249451844340485,0.250182480015289,0.033963443044031,0.0338518286025606,0.135822695013567
"50",57,0.125391784622014,0.126047083075859,0.124717166673211,0.996615727852455,0.249767825961719,0.25005285257214,0.0314610461761525,0.0313774712302785,0.125821211563536
"51",58,0.117315086960152,0.117959079332653,0.116610001141728,0.996428917495142,0.249509575394586,0.250062004401718,0.0294411826842235,0.0293661203761357,0.117701219953831
"52",59,0.110655579787715,0.111352491517709,0.109963548785877,0.996594640842747,0.249367057081383,0.250246066390346,0.0277857440038032,0.0277239994880983,0.111078402116719
"53",60,0.105342757267615,0.106073686382542,0.104619676430627,0.996819089698333,0.249449895949183,0.250098325448544,0.0264301190286554,0.0263780159716561,0.10565427279625
"54",61,0.100985839082637,0.101809440780049,0.100197890755784,0.997014105660878,0.249379651819446,0.25007199456145,0.0253293609974726,0.0252708737224094,0.101195532739368
"55",62,0.0973779877700102,0.0983151919438742,0.0965271819996684,0.997411978180084,0.249639489408689,0.249889005481346,0.0243968280429343,0.0243573769944458,0.0975185908914781
"56",63,0.0942924482442262,0.0952239899263341,0.0933059661102435,0.996683791810922,0.25027734316455,0.249830748643407,0.0236355332853087,0.0236016491295333,0.0944779961724617
"57",64,0.0917252880526055,0.0927267171725314,0.0906854704772107,0.996533513069402,0.250262432825301,0.249973201519019,0.0230086230057043,0.0229750235557491,0.0919577172803511
"58",65,0.0894220196885971,0.0905824023455773,0.0883172239520192,0.995268414240223,0.250349151504188,0.250227006203377,0.0224821806411073,0.0224544550316749,0.0898646008093096
"59",66,0.087632027399345,0.0888615776173612,0.0862814139872494,0.994613274038854,0.250927648141612,0.250309315538156,0.0220539111734136,0.022021308812642,0.0881234055704991
"60",67,0.086295760069009,0.0877640217465587,0.0849403509250989,0.994792021393407,0.25108290515942,0.250063830446256,0.021692421983744,0.0216604358921594,0.0866730215150387
"61",68,0.08506822520502,0.0865861397736665,0.0835382414482949,0.994619612571341,0.250984836435451,0.25011813707013,0.0213922043595493,0.0213594610218027,0.0854635664730502
"62",69,0.0841155280842948,0.085816045711806,0.0824424474655945,0.994712182797658,0.250692229744244,0.250005995103804,0.0211411769817178,0.0211082323505024,0.084454146705072
"63",70,0.0834368797697232,0.0854409302550878,0.0815728793133292,0.994868922175076,0.250381147476987,0.249538656261403,0.0209281106247251,0.0208983896707706,0.083611103861172
"64",71,0.0826568543797931,0.0846452915155244,0.0806815546199173,0.994603997901586,0.250976781958495,0.249719701356308,0.020753028375436,0.020723026528125,0.0829066448822927
"65",72,0.0821744531379095,0.0842733415635843,0.0798667065877,0.99368309735961,0.252222146118289,0.249176047271983,0.020606071970077,0.0205764215744031,0.0823177544881996
"66",73,0.0814993380666399,0.0839409602829297,0.0791279108690038,0.992084942550448,0.251012903448216,0.249344137749335,0.0204835103384654,0.0204538245605922,0.0818253297834542
