"","time","Cori.mean","Cori.025","Cori.975"
"1",2,NA,NA,NA
"2",3,NA,NA,NA
"3",4,NA,NA,NA
"4",5,NA,NA,NA
"5",6,NA,NA,NA
"6",7,NA,NA,NA
"7",8,3.99240074353563,3.02487131918512,5.22811862781171
"8",9,4.2713082969733,3.09747385420714,6.115477993133
"9",10,4.19879780488928,3.10635006579228,5.84540332019873
"10",11,4.154044631214,3.115487075216,5.72177571009654
"11",12,4.12518544913262,3.12075579265525,5.63252537964345
"12",13,4.10097634326988,3.12625064799057,5.54959483881516
"13",14,4.09165556427401,3.11042198450395,5.52933473516218
"14",15,4.07987763381403,3.13004507839882,5.4782863876851
"15",16,4.0818334022671,3.1067340119968,5.49396350070244
"16",17,4.07471530990394,3.11447690410107,5.42369984671164
"17",18,4.07176191588588,3.11705893107571,5.41758963922713
"18",19,4.0626794730844,3.10524892485746,5.38318582020542
"19",20,4.05807612157216,3.10772078935603,5.38063966687542
"20",21,4.04878066208438,3.09910478105362,5.35003370383083
"21",22,3.85574385365449,2.95362730531766,5.08163821944794
"22",23,3.48557864255229,2.68380010072591,4.5707699032419
"23",24,3.10941336612171,2.44031351320295,4.02563849626374
"24",25,2.74415835552352,2.21088754730768,3.47440024955749
"25",26,2.38584294158241,1.97214390905612,2.94192096136912
"26",27,2.03519786890062,1.73037367765631,2.44298829244147
"27",28,1.69230465056354,1.4862316934402,1.96326586418368
"28",29,1.52236876255865,1.37995276889282,1.71569187514635
"29",30,1.52055134503436,1.40803473957951,1.6791696380999
"30",31,1.52240382385086,1.42458019259555,1.65187894967819
"31",32,1.56909053299897,1.47866985225679,1.68426653079718
"32",33,1.66261772503361,1.5693975711854,1.77498140197445
"33",34,1.75277023727342,1.64973902322048,1.87116866302858
"34",35,1.83929713863737,1.7188546737666,1.97074355663735
"35",36,1.92154751799228,1.77516538928052,2.0749660602364
"36",37,1.99989999941943,1.82827559500514,2.17588971547176
"37",38,2.07357308643346,1.87465841055199,2.27804298504689
"38",39,2.09669602470129,1.88158437965052,2.33266944201583
"39",40,2.06922057432934,1.84437185453871,2.31483270181676
"40",41,2.03894592509996,1.8169124422135,2.28804367889385
"41",42,2.00723321741991,1.79378572891772,2.25752785219647
"42",43,1.97361279849861,1.76828156874791,2.21151076811164
"43",44,1.93737991653488,1.74268288642733,2.16233103278379
"44",45,1.89882045014021,1.71400967080613,2.10784173221976
"45",46,1.85706829438526,1.6838121212682,2.05027753522956
"46",47,1.81251920441112,1.65051435139986,1.99466219387803
"47",48,1.76492203193043,1.61449076464368,1.93361053615116
"48",49,1.71430360999166,1.57846651334859,1.86787181668216
"49",50,1.66104997268957,1.53550722563589,1.8023418512003
"50",51,1.60529283859501,1.49273544710519,1.7349047035308
"51",52,1.54733883406891,1.44797016515955,1.66765701810107
"52",53,1.48793831502944,1.40142331907125,1.59552187931358
"53",54,1.42655291667307,1.35114038405554,1.52289783468557
"54",55,1.36466582603567,1.3012818909942,1.44941320818978
"55",56,1.30251395732487,1.24816392194952,1.37394287465668
"56",57,1.24047652631373,1.19387610998874,1.30073518403231
"57",58,1.17906567338558,1.13809996426201,1.22825844020274
"58",59,1.11894471192802,1.08220593832369,1.16060980512519
"59",60,1.06034029744229,1.02807463947888,1.09637135706035
"60",61,1.00390951327045,0.976147693866421,1.03415824189305
"61",62,0.949829431507087,0.924316155111041,0.975939095910148
"62",63,0.898362456710949,0.873220490810708,0.922176061436937
"63",64,0.849663623746706,0.822738109251826,0.874886028882162
"64",65,0.803946403790938,0.773088639887775,0.832436128415358
"65",66,0.761402050012351,0.728215204626871,0.793672446917577
"66",67,0.721721318207062,0.685116112190218,0.757300382798241
"67",68,0.685033810101991,0.64679665068715,0.723475584225859
"68",69,0.651294536691112,0.612242625133871,0.690413587524136
"69",70,0.620297509470679,0.579747310140193,0.661020444384532
"70",71,0.591993702935732,0.552232124722664,0.633248238582031
"71",72,0.566084999179741,0.526104824537279,0.606940367282011
"72",73,0.542463408425828,0.504365706987264,0.583671309188503
"73",74,0.521092184619723,0.482666092439791,0.561097635848532
"74",75,0.501608771038193,0.464782403805384,0.540824806085279
"75",76,0.484053006599833,0.446697879946719,0.522437091470044
"76",77,0.467965194049175,0.431582553157665,0.504769338691806
"77",78,0.453423450087348,0.417223271540389,0.488946003628563
"78",79,0.440541570295747,0.403760886422238,0.476093170575157
"79",80,0.428624909508477,0.392618709147579,0.462923150334558
"80",81,0.4179200818053,0.380940633119843,0.452442597105689
"81",82,0.408283801771766,0.371585413097753,0.442926514574145
"82",83,0.39940915362881,0.362556865775245,0.43440590984749
"83",84,0.391406340770692,0.354268972433733,0.427424738200886
"84",85,0.384278197923548,0.346904858613186,0.420607927978217
"85",86,0.377888426877398,0.339543341350293,0.41543053286079
"86",87,0.372027363338608,0.33280340110429,0.410910345468212
"87",88,0.366641148331043,0.3264215953419,0.406797227378182
"88",89,0.361887040666451,0.320458720941707,0.403913739391963
"89",90,0.357360311770406,0.315324222752358,0.400571553069573
"90",91,0.353265475565622,0.310645997145624,0.39725085448765
"91",92,0.349686229263278,0.305404780839022,0.395560040247389
"92",93,0.346372386844098,0.302424970492737,0.393444043117443
"93",94,0.343223055860623,0.297689618531839,0.391125630468803
"94",95,0.34080146332095,0.294986669215289,0.390566432490202
"95",96,0.338286508857246,0.29090970581387,0.388899167371276
"96",97,0.335873785935061,0.287979075450199,0.388064569564952
"97",98,0.333460176518165,0.283561965942255,0.387224696266187
"98",99,0.33190551592991,0.281584373227524,0.386470387298779
