"","time","estimate","upperRt","lowerRt","beta","delta","gamma","est_S","true_S","true_rt"
"1",NA,8.39457271132325,NA,NA,2.15198895503066,0.225640677976419,0.256323385967333,0.999877483611292,0.999847913184662,3.99954036432673
"2",5,6.63908849664797,8.46193913250074,0,1.69646313093229,0.217978957667443,0.255483201584335,0.999830502531005,0.999801076389597,3.99939162424428
"3",6,5.8783386797887,7.57259185509871,4.53919111632481,1.31771551111614,0.208898154237426,0.22411327675625,0.999770991763293,0.999741368689779,3.99920425804647
"4",7,4.96948241793426,6.12460193910286,4.04551588347431,1.18177859005896,0.222783180121762,0.237734524744979,0.999694486593456,0.999664913047091,3.99896539565778
"5",8,4.95491901230786,5.98825059419763,4.16339922714977,1.13781060534244,0.211901660179238,0.229539879908685,0.999596514307499,0.999566852321886,3.99865952074
"6",9,4.59171905553074,5.32947656851744,3.92798954387263,1.1123896859442,0.223326492065974,0.242131680898172,0.999470479793348,0.999441009828769,3.99826719122657
"7",10,4.45258693992632,5.0676082997692,3.88506014752501,1.04268434730014,0.230915786025804,0.234013138985754,0.999308994248475,0.999279487467264,3.99776367809908
"8",11,4.23481944180883,4.70765172259308,3.76244664313691,0.997936735462926,0.244197584571981,0.235438627741835,0.999101488784664,0.999072167023187,3.99711735223724
"9",12,4.10048627602002,4.55115949078338,3.71946760190751,0.994487537194404,0.248054602205223,0.242246716512162,0.998835379346592,0.998806079699454,3.99628768029153
"10",13,4.05330605657614,4.44031610408784,3.69729649124845,0.997904356518915,0.246725007038889,0.245824394465448,0.99849399437117,0.998464604918488,3.99522268746607
"11",14,3.89442489352321,4.20491816584016,3.6144181924358,0.980459102716985,0.25135841164445,0.251270224717707,0.998055926483936,0.99802645044454,3.99385572753348
"12",15,3.93558315899796,4.20516950559746,3.67929209735795,0.973195484301817,0.248581930724333,0.246661446803933,0.997493979035532,0.997464355339575,3.9921013619924
"13",16,3.93245706334058,4.1717663763932,3.69736761465225,0.981174311244474,0.249158313697853,0.248701499576738,0.996772905146161,0.996743444342055,3.98985010418679
"14",17,3.93954306324548,4.14818129943028,3.73174655863419,0.982726466109294,0.252172665597744,0.248416283530112,0.99584846885505,0.99581915030891,3.98696172616951
"15",18,3.93850859552964,4.14288025393665,3.76423821051539,0.978890143073804,0.252523235171658,0.247217073037997,0.994663777147073,0.994634590961142,3.98325676788352
"16",19,3.91346650116992,4.07709575787942,3.75541019249544,0.981431345269184,0.251162850132822,0.249064350909409,0.993146386263284,0.993117298406294,3.97850575078026
"17",20,3.956532064279,4.10203895436832,3.81444566164683,0.983142017223367,0.249927895940136,0.246300332017378,0.991204875793562,0.991175143584468,3.9724156204895
"18",21,3.84306418725777,3.97008099197756,3.71965168610577,0.97744224465908,0.246733421177791,0.251498956621945,0.988832474356175,0.988803904309189,3.96461667200083
"19",22,3.64461513767515,3.74448386242051,3.53787977229618,0.936316563215836,0.243822753557679,0.253332539482887,0.986097698724766,0.986069550297596,3.61608486868387
"20",23,3.32529105664131,3.40637856880231,3.24065262319467,0.879452328060477,0.244248465616277,0.259984784273627,0.983026652410501,0.982999806541153,3.26797405892858
"21",24,2.99374930931639,3.06587664517223,2.92518112533885,0.802948248818612,0.245397687060676,0.262761229138771,0.979691093923817,0.979664997306101,2.92074468978858
"22",25,2.72570304118811,2.78125855280738,2.66763796185045,0.721685358065416,0.243575753274164,0.258469582563397,0.976202883118232,0.97617718492645,2.57493233840762
"23",26,2.38694694733928,2.43660540178837,2.33923394522819,0.638169976888066,0.244363769666372,0.260062005052068,0.972709828978441,0.972685813206685,2.23107135820295
"24",27,2.08611439951041,2.12624125926647,2.04740291809952,0.556235151802434,0.24320777635323,0.2584757046617,0.969391969693227,0.969367903485107,1.88961292042118
"25",28,1.81560572022555,1.84923949002694,1.78360035052754,0.48774338972606,0.242790773544613,0.259525110578145,0.966072088793443,0.966049903426455,1.55082548453096
"26",29,1.64646651587306,1.67763215194698,1.6183305559157,0.438537803181138,0.245988949798308,0.256357522295953,0.962480482847053,0.962455753597381,1.5454839064741
"27",30,1.56508864574141,1.59114532892031,1.53875241468261,0.410183234605328,0.246511719134069,0.251241610353794,0.958633504562553,0.958605658242357,1.53969703358492
"28",31,1.55074694132514,1.57526465111969,1.52410260256985,0.402022162265995,0.249334315229893,0.247424556673364,0.954407270254122,0.954376929988623,1.53348779113091
"29",32,1.60336813106087,1.63025196052585,1.57637498263112,0.412637740304391,0.248975342042921,0.244396286043655,0.949639788408525,0.949608671209992,1.622069186696
"30",33,1.64477062463876,1.66927697170406,1.61983385238394,0.428310407658576,0.250443915722763,0.245894430322429,0.944268288897168,0.944234610557331,1.70880552353025
"31",34,1.70887006604181,1.73476774974776,1.68527523759942,0.450995096348335,0.252029753148571,0.247604380478749,0.938200254164522,0.938165002301541,1.79339873212335
"32",35,1.77998743146301,1.80319689360169,1.75348213382399,0.47478610977275,0.251482334178859,0.248417132741247,0.931323315779271,0.93128678148189,1.87547348372625
"33",36,1.85300448380594,1.87555630688665,1.82886492773998,0.500999093873472,0.25176458183891,0.249687604768421,0.923499177632242,0.923462407222283,1.95456429774683
"34",37,1.94006963904054,1.96438784477902,1.91683744683865,0.526275924839014,0.251505752874384,0.248091453425205,0.914567195227319,0.914527728358789,2.03009928758491
"35",38,2.00161602177713,2.02508586719312,1.97761617775438,0.548003263858758,0.251576723101328,0.247648070410407,0.904549987540624,0.90451177151378,2.10142485514384
"36",39,2.02788471904521,2.05008431854856,2.00512308481723,0.560774552099332,0.250741944223553,0.247088324658707,0.893525991780593,0.893491578292514,2.07792981816924
"37",40,2.01998565303115,2.04013130858708,1.99755009454152,0.568797507776543,0.25176455356266,0.24818880339685,0.881399470374543,0.881369137837111,2.05202456259848
"38",41,1.99021041717226,2.01180300875707,1.97132020586912,0.57222471843276,0.251163790914257,0.249593275074023,0.868091014084411,0.868062616113546,2.02346935600379
"39",42,1.95728701988966,1.97497550414956,1.93932589810445,0.572138719234696,0.250871033219246,0.24949769360157,0.853531811012495,0.853503942309822,1.99206083115048
"40",43,1.90414638300824,1.92293464883805,1.88758708286396,0.572347119452211,0.251674486949801,0.251784779726767,0.837664873848083,0.8376391805613,1.95762740770663
"41",44,1.8649625128656,1.88058167719721,1.84869395279857,0.572997978620268,0.251293880146524,0.25208093220872,0.820459244742001,0.820430604155702,1.92003139654674
"42",45,1.82743389626861,1.84235934738567,1.8132133576039,0.573106532237345,0.252028766104116,0.251480907772039,0.801883610247702,0.801859579861962,1.87917524276816
"43",46,1.78398063326754,1.79755884181274,1.76980615424672,0.573504108149247,0.251764948629529,0.251377812856636,0.781952811491783,0.78192989374469,1.83500992748974
"44",47,1.744774828241,1.75736652166684,1.73195784442293,0.574269953017043,0.25087259509123,0.250370913090072,0.760689053272318,0.760670931355808,1.78754448305201
"45",48,1.70272293030827,1.71571754932766,1.69068654313254,0.574221559876903,0.250288697961507,0.248934947198236,0.73815974941864,0.738140485536335,1.73685523960578
"46",49,1.64874679909273,1.66013543229723,1.6372934180865,0.574734633401964,0.249333049698976,0.249043257066389,0.714432799174396,0.714426699098539,1.68309393813021
"47",50,1.59129093817701,1.60173076741379,1.58048431491928,0.575245205451114,0.2493830748101,0.24930807585583,0.689656651049557,0.689648734132912,1.62649328206555
